,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B35,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C12,C13,C14,C15,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,D13,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,G01,G02,G03,G04,G05,J02,J03,K01,K02,K03,K04,K05,K06,K07,K08,N01,N02,N03,N04,N06
B11,31,33,35,37,40,42,44,46,49,51,54,57,60,63,67,29,27,25,21,19,16,13,10,7,4,,23,31,37,38,40,43,45,42,43,45,47,52,54,56,57,37,39,37,43,45,47,49,50,54,56,58,61,64,32,31,29,27,24,16,24,27,30,33,29,35,37,39,41,43,46,48,51,53,56,53,56,59,62,65,64,70,46,48,49,51,55,58,62,65,63,65,67,69,77
B35,8,10,12,14,17,19,21,23,26,28,31,34,37,40,44,6,4,2,2,4,7,10,13,16,19,23,,8,14,15,17,20,22,19,20,22,24,29,31,33,34,14,16,14,20,22,24,26,27,31,33,35,38,41,13,14,16,18,15,7,15,18,21,24,6,12,14,16,18,20,23,25,28,30,33,30,33,36,39,42,41,47,23,25,26,28,32,35,39,42,40,42,44,46,54
C01,,2,4,6,9,11,13,15,18,20,23,26,29,32,36,2,4,6,10,12,15,18,21,24,27,31,8,,1,2,4,7,9,12,13,15,17,22,24,29,30,1,3,5,7,9,11,13,14,18,20,22,25,28,9,10,12,14,17,15,23,26,29,32,2,8,5,12,14,16,19,21,24,26,29,17,20,23,26,29,29,35,10,12,13,15,19,22,26,29,27,29,31,33,41
C02,1,8,10,12,15,17,19,21,24,26,29,32,35,38,42,8,10,12,16,18,21,24,27,30,33,37,14,1,,1,3,6,8,11,12,14,16,21,23,30,31,2,4,6,8,10,12,14,15,19,21,23,26,29,15,16,18,20,23,21,29,32,35,38,8,13,6,13,15,17,20,22,25,27,30,18,21,24,27,30,28,34,9,11,12,14,18,21,25,28,26,28,30,32,40
C03,2,9,11,13,16,18,20,22,25,27,30,33,36,39,43,9,11,13,17,19,22,25,28,31,34,38,15,2,1,,2,5,7,10,11,13,15,20,22,29,30,3,5,7,9,11,13,15,16,20,22,24,27,30,16,17,19,21,24,22,30,33,36,39,9,14,7,14,16,18,21,23,26,28,31,19,22,25,28,31,27,33,8,10,11,13,17,20,24,27,25,27,29,31,39
C04,4,11,13,15,18,20,22,24,27,29,32,35,38,41,45,11,13,15,19,21,24,27,30,33,36,40,17,4,3,2,,3,5,8,9,11,13,18,20,27,28,5,7,9,11,13,15,17,18,22,24,26,29,32,18,19,21,23,26,24,32,35,38,41,11,16,9,16,18,20,23,25,28,30,33,21,24,27,30,33,25,31,6,8,9,11,15,18,22,25,23,25,27,29,37
C05,7,14,16,18,21,23,25,27,30,32,35,38,41,44,48,14,16,18,22,24,27,30,33,36,39,43,20,7,6,5,3,,2,5,6,8,10,15,17,24,25,8,10,12,14,16,18,20,21,25,27,29,32,35,20,21,23,25,28,27,35,38,41,44,14,17,12,19,21,23,26,28,31,33,36,24,27,30,33,36,22,28,3,5,6,8,12,15,19,22,20,22,24,26,34
C06,9,16,18,20,23,25,27,29,32,34,37,40,43,46,50,16,18,20,24,26,29,32,35,38,41,45,22,9,8,7,5,2,,3,4,6,8,13,15,22,23,10,12,13,16,18,20,22,23,31,33,35,38,41,18,19,21,23,26,29,37,40,43,46,16,15,13,20,22,24,27,29,32,34,37,26,29,32,35,38,20,26,10,12,13,15,19,22,26,29,27,29,31,33,41
C07,12,17,19,21,24,26,28,30,33,35,38,41,44,47,51,8,15,17,21,23,21,29,32,35,38,42,19,12,11,10,8,5,3,,1,3,5,10,12,14,15,13,12,5,12,14,16,18,19,23,25,27,30,33,10,11,13,15,18,21,29,32,35,38,8,7,5,12,14,16,19,21,24,26,29,22,25,28,31,34,17,23,13,15,16,18,22,25,29,32,30,32,34,36,44
C08,13,18,20,22,25,27,29,31,34,36,39,42,45,48,52,9,16,18,22,24,22,30,33,36,39,43,20,13,12,11,9,6,4,1,,2,4,9,11,13,14,14,13,6,13,15,17,19,20,24,26,28,31,34,11,12,14,16,19,22,30,33,36,39,9,8,6,13,15,17,20,22,25,27,30,23,26,29,32,35,16,22,14,16,17,19,23,26,30,33,31,33,35,37,45
